A,B,mean(A),mean(B),diff,se,T,df,pval,hedges
Acura,Audi,41291.82948490231,46305.405819295556,-5013.5763343932485,614.0091380113253,-8.165312247031695,1211.5511705287854,2.7777780076121417e-13,-0.46931059029702643
Acura,BMW,41291.82948490231,47729.58146639511,-6437.751981492802,636.0696780822441,-10.121142703897917,1528.869166006898,0.0,-0.5347769345654305
Acura,Buick,41291.82948490231,33533.75338753388,7758.07609736843,591.3766299096711,13.1186721033488,869.1188825531765,0.0,0.877970613276083
Acura,Cadillac,41291.82948490231,51441.4168190128,-10149.587334110489,755.5250460170938,-13.4338198152611,933.3382455188497,3.530509218307998e-14,-0.8059702471730227
Acura,Chevrolet,41291.82948490231,34875.39828353465,6416.431201367661,463.9285169683908,13.83064624545345,929.3392411574822,3.0031532816110484e-13,0.6327752034111354
Acura,Chrysler,41291.82948490231,35208.75488069414,6083.074604208166,484.74753008193414,12.548954304480889,929.5784615895298,0.0,0.7876512231711221
Acura,Dodge,41291.82948490231,32108.071500503524,9183.757984398784,458.41977384228574,20.033511878042056,865.3247752923488,0.0,1.0563877990460455
Acura,Fiat,41291.82948490231,21668.18181818182,19623.647666720488,643.4202282446792,30.498959785979917,172.31390871356632,1.2434497875801753e-14,3.963365963386217
Acura,Ford,41291.82948490231,33066.46001239926,8225.369472503051,438.20584960884145,18.770560639127286,748.1425980720719,0.0,0.8571703567256287
Acura,Freightliner,41291.82948490231,0.0,41291.82948490231,,,,,
Acura,GMC,41291.82948490231,43078.840297121635,-1787.010812219327,562.0776279809405,-3.1792953913474786,1426.9572925758791,0.3404102482006933,-0.16526916266867014
Acura,Genesis,41291.82948490231,49126.92307692308,-7835.09359202077,1741.2420347881007,-4.499715395955426,86.14333798031481,0.009674841478560903,-0.5430031229940592
Acura,Honda,41291.82948490231,27710.97840172786,13580.851083174446,424.8366966715899,31.967226912304156,662.8824650811205,0.0,1.4593041582363213
Acura,Hyundai,41291.82948490231,24322.95008807986,16968.87939682245,436.27032536516595,38.89533257303072,732.9763082129559,0.0,1.8902620324793333
Acura,Infiniti,41291.82948490231,45525.69031377899,-4233.8608288766845,535.6015048529118,-7.904871047812678,1192.4860550914254,3.986699859126475e-12,-0.44273032255145933
Acura,Jaguar,41291.82948490231,54111.72839506173,-12819.89891015942,1279.0709565417244,-10.022820739219267,198.7087298916066,0.0,-0.8926811387646115
Acura,Jeep,41291.82948490231,32334.428873985176,8957.400610917131,433.1145304275253,20.68136712493881,714.6323747348382,1.1945999744966684e-13,0.9540905907771005
Acura,Kia,41291.82948490231,24375.759197324416,16916.07028757789,449.87505801878234,37.6017073764326,819.8661904257659,2.2393198406689407e-13,1.858647295402631
Acura,Land Rover,41291.82948490231,54504.444444444445,-13212.614959542138,1155.1528276717693,-11.437980017044493,347.55250007320274,0.0,-0.8459476671032002
Acura,Lexus,41291.82948490231,42882.28562005277,-1590.4561351504599,465.71343013968914,-3.4150961347054305,926.3299293411314,0.19490572041517928,-0.16848820757955082
Acura,Lincoln,41291.82948490231,45021.70731707317,-3729.8778321708596,796.179972439192,-4.68471697516321,493.45539320890913,0.00205756652309097,-0.3394792916193993
Acura,Mazda,41291.82948490231,27183.67381489842,14108.15567000389,456.39181887511165,30.9123763541092,849.1848599349494,0.0,1.6652150546192104
Acura,Mercedes-Benz,41291.82948490231,46790.56814159292,-5498.738656690613,591.6170482673738,-9.29442224965351,1549.8717899719381,0.0,-0.47925291950048826
Acura,Mercury,41291.82948490231,29900.0,11391.829484902308,,,,,
Acura,Mini,41291.82948490231,25813.031914893618,15478.79757000869,586.2530542389951,26.40292866380278,542.4054941074321,0.0,2.2217935990279893
Acura,Mitsubishi,41291.82948490231,21892.91891891892,19398.910565983388,533.2640253199846,36.37768468319813,782.7172451927573,7.72715225139109e-14,2.728785256623492
Acura,Nissan,41291.82948490231,26456.463001383127,14835.366483519181,435.6066164797917,34.056797859055045,730.7698014241635,0.0,1.5684842022974415
Acura,Porsche,41291.82948490231,59279.83870967742,-17988.00922477511,1471.450319988797,-12.224679950398912,144.06812997654862,4.04121180963557e-14,-1.2113646255107728
Acura,Ram,41291.82948490231,41320.847750865054,-29.018265962746227,462.5806084757511,-0.06273126333238284,885.1715818938114,1.0,-0.003393595776267501
Acura,Scion,41291.82948490231,18375.454545454544,22916.374939447764,568.0678194620293,40.34091380347859,168.07911078234403,6.628031457012185e-14,6.306967645638506
Acura,Smart,41291.82948490231,13500.0,27791.829484902308,575.6828639570458,48.27628408785844,19.911367040038296,1.7763568394002505e-15,19.787232066920367
Acura,Subaru,41291.82948490231,27978.791666666668,13313.03781823564,445.71750097715295,29.868779639680454,790.9656038152157,0.0,1.5070408163845437
Acura,Tesla,41291.82948490231,50899.11504424779,-9607.28555934548,1914.9436006016176,-5.017007057715517,122.82308573106667,0.0009989401978768297,-0.516583971493115
Acura,Toyota,41291.82948490231,28624.735468304454,12667.094016597854,428.1255622755978,29.587334027122747,683.6358401269155,0.0,1.3215177573074666
Acura,Volkswagen,41291.82948490231,27287.3133393017,14004.516145600606,465.5522462963967,30.08151342198561,914.3237825971821,1.8762769116165146e-14,1.5541014087713287
Acura,Volvo,41291.82948490231,44907.79661016949,-3615.9671252671833,602.4303393184131,-6.002299169325157,728.2033365613061,2.0074006410464307e-06,-0.4310377264881021
Audi,BMW,46305.405819295556,47729.58146639511,-1424.1756470995533,670.4006293971942,-2.1243650209280576,1600.2567093042148,0.9815235534094369,-0.1072200851558757
Audi,Buick,46305.405819295556,33533.75338753388,12771.652431761679,628.154986387774,20.33200835546254,973.761574829873,0.0,1.3231723705453224
Audi,Cadillac,46305.405819295556,51441.4168190128,-5136.01099971724,784.6467126545782,-6.545635018773405,1029.284067782549,6.17923486823102e-08,-0.37915791439105756
