A,B,mean(A),mean(B),diff,se,T,df,pval,hedges
Black,Blue,35576.914444702066,31241.744752308983,4335.169692393083,239.81915184767118,18.07682855598916,7730.610550430409,0.0,0.3596138531423878
Black,Brown,35576.914444702066,33035.048964218455,2541.8654804836115,472.24365516539694,5.382529659595654,644.0699226900664,7.883834859612193e-06,0.24064423966327408
Black,Gold,35576.914444702066,33254.68421052631,2322.230234175753,717.811510799055,3.2351532390316335,308.3485678972643,0.0679187358710569,0.19475757490755832
Black,Gray,35576.914444702066,32632.7086938023,2944.2057508997677,200.6834248437868,14.670896478827563,15600.529096491591,0.0,0.23552513808271494
Black,Green,35576.914444702066,30670.93085106383,4905.983593638237,535.9768581908367,9.15334966177111,435.6341473830865,1.587618925213974e-14,0.4821861303389065
Black,Orange,35576.914444702066,28614.479166666668,6962.435278035398,777.8389530837346,8.95099846881272,204.81957467597533,6.661338147750939e-16,0.6530767752713152
Black,Purple,35576.914444702066,31380.821917808218,4196.092526893848,1563.618659140016,2.683577931464237,73.23939671831917,0.2825629485148654,0.31538807286633275
Black,Red,35576.914444702066,31534.883994126285,4042.0304505757813,232.39331965886262,17.393057840514537,7789.320108253868,5.8514304512868875e-12,0.3519949560059382
Black,Silver,35576.914444702066,31962.963602714375,3613.950841987691,222.5131300144922,16.241517261261464,11148.736242009463,8.022471575941381e-13,0.29122956520031307
Black,Tan,35576.914444702066,34325.60810810811,1251.3063365939597,885.0639905919634,1.413803238969241,233.20189494824245,0.971300875566045,0.09609338479903683
Black,White,35576.914444702066,34567.605155109486,1009.3092895925802,196.7202668380986,5.1306828005842675,17276.135400826395,2.2240574635179478e-05,0.0778038650992439
Black,Yellow,35576.914444702066,29929.64814814815,5647.266296553917,1583.1279404132756,3.567157241302745,53.8897149388136,0.03811254771467343,0.48690358539771933
Blue,Brown,31241.744752308983,33035.048964218455,-1793.3042119094716,488.85099627960835,-3.6684065810592204,736.4358066305115,0.01602346250275788,-0.1705838664217281
Blue,Gold,31241.744752308983,33254.68421052631,-2012.93945821733,728.8446965953812,-2.7618221928763176,327.6234244457591,0.22558816845236884,-0.1699626147543413
Blue,Gray,31241.744752308983,32632.7086938023,-1390.9639414933154,237.13933399295692,-5.865597739827621,7324.425610242121,3.621743638326791e-07,-0.12044361305731636
