A,B,mean(A),mean(B),diff,se,T,df,pval,hedges
Black,Blue,33017.250067942696,30962.85714285714,2054.3929250855545,2041.186246445671,1.006470099758354,41.111837037136524,0.9831225217405909,0.15542375702052372
Black,Brown,33017.250067942696,45378.848140495866,-12361.59807255317,440.7619008971614,-28.045976858234347,1025.9914223856338,1.8196555373606316e-13,-0.9181886532954433
Black,Gray,33017.250067942696,30319.866485013623,2697.383582929073,142.0839959663752,18.984429348168252,12292.196301421354,2.992495140574647e-12,0.2618152532498514
Black,Green,33017.250067942696,30255.555555555555,2761.694512387141,1970.6545912957474,1.4014097267909684,8.023415374914523,0.8702273545609094,0.46720458076695853
Black,Orange,33017.250067942696,33888.88888888889,-871.6388209461948,3837.854565553932,-0.2271161676550888,8.006163735113478,0.9999993422568825,-0.07571641031611104
Black,Red,33017.250067942696,42510.41463414634,-9493.164566203646,849.2330247445964,-11.178515542372695,373.8559230456621,1.609823385706477e-14,-0.5860670507514364
Black,Tan,33017.250067942696,36648.27088807146,-3631.020820128768,226.79305155074377,-16.01028248132349,4795.541045126133,0.0,-0.2780226614735702
Black,White,33017.250067942696,38822.39666666667,-5805.146598723972,594.7172434133009,-9.76118762826869,618.6763863539171,0.0,-0.4031020675008028
Blue,Brown,30962.85714285714,45378.848140495866,-14415.990997638724,2085.5144673490154,-6.91243874033801,44.7972491872675,4.858977755706206e-07,-1.0886952354301735
Blue,Gray,30962.85714285714,30319.866485013623,642.9906578435184,2043.3520015282095,0.3146744454027646,41.28659511942208,0.9999964562345871,0.04870393333375085
Blue,Green,30962.85714285714,30255.555555555555,707.3015873015866,2835.2388009539122,0.24946808256984065,28.071686855504367,0.9999993568113472,0.09022373351372215
Blue,Orange,30962.85714285714,33888.88888888889,-2926.031746031749,4345.598601640829,-0.6733322642654861,12.958468793349551,0.9983689672688972,-0.2435203339500264
Blue,Red,30962.85714285714,42510.41463414634,-11547.5574912892,2208.233744547081,-5.229318463140168,56.12908013753136,8.674432304911495e-05,-0.850022792534439
Blue,Tan,30962.85714285714,36648.27088807146,-5685.413745214322,2050.9838196512583,-2.7720422222448584,41.906821441349734,0.15463566498339998,-0.43000512413550684
Blue,White,30962.85714285714,38822.39666666667,-7859.539523809526,2123.390717661892,-3.7014099470415993,48.122489981592956,0.01477715490843523,-0.5900991580356242
Brown,Gray,45378.848140495866,30319.866485013623,15058.981655482243,450.68521470406773,33.413524926417615,1120.6215721121937,0.0,1.1498335080053146
Brown,Green,45378.848140495866,30255.555555555555,15123.292584940311,2016.5338626063506,7.4996472240707135,8.796923536370645,0.000789163491855871,2.5095444738218395
Brown,Orange,45378.848140495866,33888.88888888889,11489.959251606975,3861.613259660558,2.975429821425712,8.206253589709275,0.19625770457429204,0.9956432939455809
Brown,Red,45378.848140495866,42510.41463414634,2868.4335063495237,950.8554207448864,3.01668733623292,572.4291025937357,0.06605244178731429,0.18445950638061434
Brown,Tan,45378.848140495866,36648.27088807146,8730.577252424402,484.11195923544074,18.034211065995198,1471.2111518480342,4.2077452633293433e-13,0.6490796888250627
Brown,White,45378.848140495866,38822.39666666667,6556.451473829198,732.5420810139128,8.950272815391576,1204.9419316079066,7.76823050330222e-13,0.46482333271401943
Gray,Green,30319.866485013623,30255.555555555555,64.31092945806813,1972.8977742562795,0.03259719297028014,8.060009667552587,0.9999999999998723,0.010871896994236489
Gray,Orange,30319.866485013623,33888.88888888889,-3569.0224038752676,3839.0068736345775,-0.9296733559886278,8.015783395344476,0.9835780091220424,-0.310066973368218
Gray,Red,30319.866485013623,42510.41463414634,-12190.54814913272,854.425444253171,-14.267538766695004,383.07506930675015,0.0,-0.763118502522089
Gray,Tan,30319.866485013623,36648.27088807146,-6328.404403057841,245.52229573313878,-25.775273826602948,6240.13809814091,0.0,-0.5244878109920932
Gray,White,30319.866485013623,38822.39666666667,-8502.530181653045,602.1085525746067,-14.121257944761552,649.9123020514495,0.0,-0.6020469870616665
Green,Orange,30255.555555555555,33888.88888888889,-3633.3333333333358,4312.918435595411,-0.8424303375057319,11.940667350652456,0.992470386314153,-0.3782147329063968
Green,Red,30255.555555555555,42510.41463414634,-12254.859078590787,2143.206592018713,-5.718001766244934,11.216363096026347,0.0026037660729535395,-1.9252539618098656
Green,Tan,30255.555555555555,36648.27088807146,-6392.715332515909,1980.801063708142,-3.227338398409621,8.189936862523874,0.14320902167176852,-1.0768387912035762
Green,White,30255.555555555555,38822.39666666667,-8566.841111111113,2055.681484415503,-4.167397126479905,9.499348497453903,0.03465490597346266,-1.3977821608461223
Orange,Red,33888.88888888889,42510.41463414634,-8621.525745257451,3929.247083630732,-2.194192821615821,8.79600516528293,0.4772106134160956,-0.7387857848747773
Orange,Tan,33888.88888888889,36648.27088807146,-2759.381999182573,3843.074420582492,-0.7180141983210243,8.049809156147349,0.9967172329136806,-0.23957374341904455
Orange,White,33888.88888888889,38822.39666666667,-4933.507777777777,3882.199700365358,-1.270802163349165,8.382598417519171,0.9163022894225895,-0.4262383785330587
Red,Tan,42510.41463414634,36648.27088807146,5862.143746074878,872.5193786439096,6.718640169558139,416.4143572424735,2.172919733034462e-09,0.3662553531289858
Red,White,42510.41463414634,38822.39666666667,3688.0179674796746,1031.282491604784,3.5761471735457575,709.8634944270888,0.011129821283335728,0.23640214318137845
Tan,White,36648.27088807146,38822.39666666667,-2174.125778595204,627.5204661247419,-3.4646292765900313,764.8126161965663,0.016291897521983234,-0.1521580834754966
